Date : 2026-03-24 14:03:59
Directory : c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app
Total : 64 files,  26080 codes, 42 comments, 145 blanks, all 26267 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |         12 |     24,526 |          0 |          1 |     24,527 |
| Dart     |         52 |      1,554 |         42 |        144 |      1,740 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\home\presentation\widgets\home_header.dart                                  | Dart     |         78 |          0 |          5 |         83 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\home\presentation\widgets\last_read_card.dart                               | Dart     |          4 |          0 |          0 |          4 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\ibadah_tracker\domain\daily_status_calculator.dart                          | Dart     |         94 |          2 |          0 |         96 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\ibadah_tracker\presentation\controllers\custom_ibadah_controller.dart       | Dart     |         28 |          0 |          6 |         34 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\ibadah_tracker\presentation\controllers\ibadah_tracker_controller.dart      | Dart     |          7 |          0 |          1 |          8 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\ibadah_tracker\presentation\pages\daily_report_page.dart                    | Dart     |         -5 |          0 |          0 |         -5 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\ibadah_tracker\presentation\pages\ibadah_tracker_tab.dart                   | Dart     |        156 |          5 |         13 |        174 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\notifications\data\models\notification_content.dart                         | Dart     |          3 |          0 |          2 |          5 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\notifications\data\models\notification_content.g.dart                       | Dart     |        580 |          0 |         54 |        634 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\notifications\data\repositories\isar_notification_repository.dart           | Dart     |         27 |          1 |          4 |         32 |
